Region	Kod Teryt	Kod BDR	Zadłużenie gmin	Jednostka	Okres
Gąsawa	0419022	6040819022	1.5528	%	2015
Pruchnik	1804072	3183404072	1.5773	%	2015
Wiśniew	1426112	1142626112	1.597	%	2015
Hażlach	2403082	2244403082	1.6454	%	2015
Krzywiń	3011043	4305911043	1.749	%	2015
Józefów nad Wisłą	0612022	3061212022	1.7786	%	2015
Krzyżanów	1002052	1101902052	1.781	%	2015
Ostaszewo	2210032	6224010032	1.8133	%	2015
Bystra-Sidzina	1215042	2122315042	1.83	%	2015
Młynarze	1411052	1142611052	1.9638	%	2015
Chodel	0612012	3061212012	2.0066	%	2015
Stara Dąbrowa	3214092	4326414092	2.0508	%	2015
Czerwińsk nad Wisłą	1420042	1142520042	2.0778	%	2015
Krzczonów	0609092	3061109092	2.0916	%	2015
Trzebiel	0811082	4081411082	2.0918	%	2015
Poświętne	2002082	3203702082	2.095	%	2015
Rzgów	3010082	4305810082	2.1433	%	2015
Policzna	1436022	1142736022	2.1504	%	2015
Promna	1401022	1142701022	2.2109	%	2015
Oleśnica	2612032	3265312032	2.2113	%	2015
Zakrzewo	0401092	6040801092	2.2219	%	2015
Adamów	0611032	3061211032	2.2275	%	2015
Różan	1411073	1142611073	2.2587	%	2015
Wietrzychowice	1216122	2122416122	2.3575	%	2015
Platerówka	0210062	5020110062	2.3772	%	2015
Kołobrzeg-wieś	3208042	4326308042	2.392	%	2015
Radoszyce	2605042	3265205042	2.4326	%	2015
Dzierzgowo	1413022	1142513022	2.4675	%	2015
Lubsza	1601052	5163101052	2.4984	%	2015
Łowicz-wieś	1005072	1101905072	2.5179	%	2015
Osieczna	3013033	4305913033	2.6822	%	2015
Domaniewice	1005042	1101905042	2.7032	%	2015
Wysokie Mazowieckie-wieś	2013102	3203813102	2.7939	%	2015
Trzyciąż	1212062	2122312062	2.8206	%	2015
Szumowo	2014042	3203814042	2.8359	%	2015
Dragacz	0414022	6040714022	2.8449	%	2015
Garwolin-wieś	1403042	1142903042	2.8872	%	2015
Nędza	2411062	2244911062	2.9036	%	2015
Wadowice	1218093	2122318093	2.9505	%	2015
Buczek	1003012	1101803012	2.9784	%	2015
Sejny-wieś	2009052	3203909052	3.0992	%	2015
Brody	2611022	3265211022	3.1278	%	2015
Rudniki	1608062	5163208062	3.1326	%	2015
Lipowiec Kościelny	1413032	1142513032	3.1725	%	2015
Reńska Wieś	1603062	5163203062	3.1842	%	2015
Jastrzębia	1425042	1142725042	3.1995	%	2015
Nowa Karczma	2206072	6224206072	3.2089	%	2015
Osie	0414072	6040714072	3.2398	%	2015
Nisko	1812053	3183612053	3.2755	%	2015
Wola Mysłowska	0611112	3061211112	3.2758	%	2015
Konstancin-Jeziorna	1418023	1143018023	3.3845	%	2015
Trzebielino	2201092	6224101092	3.4101	%	2015
Rzgów	1006102	1101506102	3.425	%	2015
Kościelec	3009082	4305809082	3.5795	%	2015
Chąśno	1005032	1101905032	3.5959	%	2015
Marklowice	2415082	2244915082	3.6245	%	2015
Baranów	0614022	3061214022	3.6323	%	2015
Leśnica	1611043	5163211043	3.6387	%	2015
Rogóźno	0406052	6040706052	3.6726	%	2015
Łyszkowice	1005082	1101905082	3.8797	%	2015
Gubin-wieś	0802052	4081402052	3.9335	%	2015
Kraszewice	3018052	4305718052	3.9844	%	2015
Busko-Zdrój	2601013	3265301013	3.995	%	2015
Bledzew	0803012	4081303012	4.0032	%	2015
Miastkowo	2007032	3203807032	4.0358	%	2015
Bargłów Kościelny	2001032	3203901032	4.0384	%	2015
Ryczywół	3016032	4306116032	4.0446	%	2015
Rakszawa	1810062	3183510062	4.0593	%	2015
Prostki	2805042	6285505042	4.0644	%	2015
Rędziny	2404152	2244604152	4.131	%	2015
Serniki	0608122	3061108122	4.1317	%	2015
Lubrza	0808012	4081408012	4.1507	%	2015
Grodków	1601033	5163101033	4.1684	%	2015
Paradyż	1007052	1101707052	4.1953	%	2015
Wysokie Mazowieckie-miasto	2013011	3203813011	4.2355	%	2015
Grabica	1010042	1101710042	4.2479	%	2015
Goraj	0602062	3061002062	4.2982	%	2015
Janów Podlaski	0601052	3060901052	4.3076	%	2015
Prószków	1609102	5163209102	4.3185	%	2015
Wodzierady	1003052	1101803052	4.3482	%	2015
Dąbrowa	0409012	6040809012	4.3903	%	2015
Dalików	1011012	1101811012	4.4125	%	2015
Kraśnik-wieś	0607052	3061207052	4.4291	%	2015
Kłoczew	0616022	3061216022	4.5123	%	2015
Cegłów	1412042	1142912042	4.6334	%	2015
Kołbaskowo	3211022	4326611022	4.6371	%	2015
Bytoń	0411022	6040811022	4.6994	%	2015
Obrazów	2609062	3265309062	4.7221	%	2015
Ćmielów	2607043	3265207043	4.8274	%	2015
Słopnice	1207112	2122207112	4.8464	%	2015
Jejkowice	2412032	2244912032	4.8653	%	2015
Nawojowa	1210122	2122210122	5.0448	%	2015
Pniewy	1406092	1143006092	5.0577	%	2015
Połajewo	3002062	4306002062	5.0608	%	2015
Jeziorzany	0608042	3061108042	5.0739	%	2015
Komprachcice	1609042	5163209042	5.1412	%	2015
Łęki Szlacheckie	1010052	1101710052	5.1506	%	2015
Stary Sącz	1210163	2122210163	5.2533	%	2015
Rzekuń	1415102	1142615102	5.2882	%	2015
Księżpol	0602082	3061002082	5.2938	%	2015
Przywidz	2204052	6224004052	5.4047	%	2015
Człopa	3217023	4326317023	5.4214	%	2015
Łasin	0406033	6040706033	5.4215	%	2015
Lipno-wieś	0408062	6040808062	5.423	%	2015
Brzeziny-wieś	1021022	1101521022	5.4422	%	2015
Wojaszówka	1807092	3183307092	5.4492	%	2015
Czarnocin	1010022	1101710022	5.5382	%	2015
Tłuchowo	0408082	6040808082	5.5812	%	2015
Bobrowo	0402022	6040702022	5.6398	%	2015
Łukowa	0602092	3061002092	5.7345	%	2015
Cedynia	3206023	4326606023	5.7375	%	2015
Kampinos	1432032	1143032032	5.8257	%	2015
Rybnik	2473011	2244973011	5.8324	%	2015
Kalinowo	2805032	6285505032	5.8484	%	2015
Sułów	0620122	3061020122	5.8615	%	2015
Chotcza	1409012	1142709012	5.8985	%	2015
Kluczewsko	2613012	3265313012	5.91	%	2015
Skołyszyn	1805092	3183305092	5.9133	%	2015
Lubowidz	1437032	1142537032	5.9344	%	2015
Klonowa	1014072	1101814072	6.0427	%	2015
Raciążek	0401072	6040801072	6.0463	%	2015
Świerklany	2412052	2244912052	6.1505	%	2015
Stare Bogaczowice	0221072	5020321072	6.171	%	2015
Rusinów	1423072	1142723072	6.1751	%	2015
Słupca-wieś	3023062	4305823062	6.1756	%	2015
Magnuszew	1407062	1142707062	6.1793	%	2015
Stęszew	3021143	4306121143	6.2224	%	2015
Tczów	1436042	1142736042	6.2247	%	2015
Stare Babice	1432072	1143032072	6.2564	%	2015
Wyszków	1435053	1142635053	6.2585	%	2015
Susiec	0618082	3061018082	6.2774	%	2015
Klukowo	2013042	3203813042	6.2793	%	2015
Laszki	1804052	3183404052	6.3542	%	2015
Chełmno-miasto	0404011	6040704011	6.3582	%	2015
Bobowo	2213042	6224213042	6.3919	%	2015
Zagrodno	0226052	5020126052	6.3949	%	2015
Zbójno	0405062	6040705062	6.4118	%	2015
Mokobody	1426042	1142626042	6.4138	%	2015
Łaziska	0612042	3061212042	6.4419	%	2015
Hrubieszów-wieś	0604042	3061004042	6.4679	%	2015
Joniec	1420062	1142520062	6.4754	%	2015
Jeziora Wielkie	0409022	6040809022	6.4777	%	2015
Boronów	2407022	2244507022	6.4813	%	2015
Szczaniec	0808042	4081408042	6.4845	%	2015
Strachówka	1434102	1142934102	6.4923	%	2015
Orla	2003062	3203803062	6.4935	%	2015
Prażmów	1418052	1143018052	6.521	%	2015
Korzenna	1210062	2122210062	6.5742	%	2015
Suwałki-wieś	2012072	3203912072	6.5862	%	2015
Stary Brus	0619042	3060919042	6.6151	%	2015
Jadów	1434062	1142934062	6.6253	%	2015
Waganiec	0401082	6040801082	6.643	%	2015
Sidra	2011072	3203711072	6.7784	%	2015
Sochocin	1420112	1142520112	6.7812	%	2015
Sokoły	2013082	3203813082	6.8454	%	2015
Kamieńsk	1012053	1101712053	6.8475	%	2015
Brańsk-wieś	2003052	3203803052	6.8798	%	2015
Nur	1416062	1142616062	6.9235	%	2015
Puck-wieś	2211072	6224011072	6.9289	%	2015
Kołaczkowo	3030012	4305830012	6.9347	%	2015
Szydłów	2612082	3265312082	6.9948	%	2015
Działdowo-miasto	2803011	6285403011	7.0441	%	2015
Wronki	3024083	4306124083	7.0779	%	2015
Kołbiel	1417052	1142917052	7.1068	%	2015
Radomyśl Wielki	1811083	3183611083	7.1205	%	2015
Lubawa-wieś	2807052	6285407052	7.1432	%	2015
Pakosławice	1607082	5163107082	7.1902	%	2015
Nowosolna	1006082	1101506082	7.2023	%	2015
Czarnia	1415022	1142615022	7.2262	%	2015
Połaniec	2612053	3265312053	7.2756	%	2015
Rychliki	2804082	6285404082	7.2787	%	2015
Wyśmierzyce	1401063	1142701063	7.2795	%	2015
Świebodzin	0808053	4081408053	7.2931	%	2015
Korytnica	1433032	1142633032	7.3311	%	2015
Suszec	2410062	2245110062	7.347	%	2015
Dobre	0411032	6040811032	7.3709	%	2015
Lubiszyn	0801052	4081301052	7.404	%	2015
Gózd	1425022	1142725022	7.462	%	2015
Pabianice-wieś	1008072	1101508072	7.5254	%	2015
Czarny Bór	0221042	5020321042	7.5439	%	2015
Wilków	0612072	3061212072	7.5514	%	2015
Szepietowo	2013092	3203813092	7.5539	%	2015
Włodowice	2416092	2245016092	7.5584	%	2015
Sokolniki	1018062	1101818062	7.6021	%	2015
Gorzków	0606032	3061006032	7.6521	%	2015
Godziesze Wielkie	3007042	4305707042	7.687	%	2015
Bartniczka	0402062	6040702062	7.7241	%	2015
Kazanów	1436012	1142736012	7.7271	%	2015
Nieborów	1005092	1101905092	7.7725	%	2015
Adamówka	1814022	3183414022	7.7752	%	2015
Borkowice	1423012	1142723012	7.7966	%	2015
Janowo	2811022	6285611022	7.8262	%	2015
Kańczuga	1814053	3183414053	7.8382	%	2015
Krasne	1816092	3183516092	7.8475	%	2015
Ruda-Huta	0603092	3061003092	7.8681	%	2015
Kiernozia	1005052	1101905052	7.889	%	2015
Koszęcin	2407062	2244507062	7.9166	%	2015
Grabowiec	0620022	3061020022	7.9329	%	2015
Gniewoszów	1407032	1142707032	7.9366	%	2015
Bądkowo	0401052	6040801052	7.9379	%	2015
Wilga	1403132	1142903132	8.0045	%	2015
Dobrzyń nad Wisłą	0408043	6040808043	8.0239	%	2015
Przedecz	3009113	4305809113	8.0628	%	2015
Haczów	1802042	3183302042	8.0696	%	2015
Kobierzyce	0223052	5020423052	8.075	%	2015
Sośnicowice	2405063	2244705063	8.0857	%	2015
Trzebieszów	0611092	3061211092	8.1265	%	2015
Białobrzegi	1810022	3183510022	8.1501	%	2015
Jordanów-miasto	1215011	2122315011	8.1601	%	2015
Leśniowice	0603072	3061003072	8.172	%	2015
Sucha Beskidzka	1215021	2122315021	8.2167	%	2015
Jastrzębie-Zdrój	2467011	2244967011	8.221	%	2015
Waśniów	2607062	3265207062	8.2457	%	2015
Brzeźnica	0810032	4081410032	8.2744	%	2015
Kowala	1425072	1142725072	8.2883	%	2015
Zalesie	0601192	3060901192	8.2993	%	2015
Pionki-wieś	1425082	1142725082	8.3096	%	2015
Lutocin	1437042	1142537042	8.3341	%	2015
Chorkówka	1807012	3183307012	8.3419	%	2015
Jasło-wieś	1805042	3183305042	8.347	%	2015
Jerzmanowice-Przeginia	1206042	2122006042	8.3573	%	2015
Rogów	1021052	1101521052	8.3986	%	2015
Maków	1015062	1101915062	8.4313	%	2015
Ożarów	2606053	3265306053	8.5198	%	2015
Czechowice-Dziedzice	2402043	2244402043	8.5574	%	2015
Sulmierzyce	3012011	4305712011	8.5574	%	2015
Bolimów	1015012	1101915012	8.6044	%	2015
Raciąż-miasto	1420021	1142520021	8.6044	%	2015
Rogowo	0412032	6040812032	8.6149	%	2015
Jarosław-wieś	1804042	3183404042	8.6413	%	2015
Wierzbno	1433092	1142633092	8.6856	%	2015
Kleszczele	2005073	3203805073	8.71	%	2015
Nowe Miasto nad Pilicą	1406083	1143006083	8.7308	%	2015
Milejczyce	2010062	3203810062	8.7881	%	2015
Pilchowice	2405042	2244705042	8.8482	%	2015
Strzelce Opolskie	1611053	5163211053	8.859	%	2015
Toszek	2405073	2244705073	8.8675	%	2015
Nowe Warpno	3211033	4326611033	8.9322	%	2015
Rokitno	0601122	3060901122	8.9636	%	2015
Krasnopol	2009032	3203909032	8.9822	%	2015
Mała Wieś	1419082	1142519082	8.9905	%	2015
Lubomia	2415072	2244915072	9.0215	%	2015
Bolesław	1212032	2122312032	9.0354	%	2015
Jastarnia	2211021	6224011021	9.0465	%	2015
Kobiór	2410022	2245110022	9.0822	%	2015
Ustrzyki Dolne	1801083	3183301083	9.1231	%	2015
Adamów	0620012	3061020012	9.1238	%	2015
Siemkowice	1009062	1101809062	9.1388	%	2015
Szelków	1411102	1142611102	9.1582	%	2015
Opatówek	3007082	4305707082	9.1906	%	2015
Łaziska Górne	2408011	2245108011	9.2219	%	2015
Jabłonna	0609062	3061109062	9.2375	%	2015
Załuski	1420122	1142520122	9.2383	%	2015
Kobylin	3012023	4305712023	9.2742	%	2015
Bobrowniki	2401042	2245001042	9.299	%	2015
Budziszewice	1016032	1101716032	9.305	%	2015
Wąpielsk	0412062	6040812062	9.332	%	2015
Grabów nad Pilicą	1407042	1142707042	9.3806	%	2015
Głuchów	1015022	1101915022	9.3956	%	2015
Ceków-Kolonia	3007032	4305707032	9.4204	%	2015
Łanięta	1002072	1101902072	9.4252	%	2015
Dębowiec	2403062	2244403062	9.44	%	2015
Wolbrom	1212073	2122312073	9.4674	%	2015
Mordy	1426053	1142626053	9.4701	%	2015
Przyłęk	1436032	1142736032	9.4739	%	2015
Michałów	2608032	3265308032	9.5635	%	2015
Chodów	3009032	4305809032	9.6342	%	2015
Lubenia	1816102	3183516102	9.6403	%	2015
Baborów	1602013	5163202013	9.6462	%	2015
Myszyniec	1415083	1142615083	9.6727	%	2015
Świętajno	2817072	6285617072	9.6919	%	2015
Złotów-miasto	3031011	4306031011	9.7024	%	2015
Otwock	1417021	1142917021	9.7726	%	2015
Liniewo	2206052	6224206052	9.773	%	2015
Rząśnik	1435032	1142635032	9.8381	%	2015
Łuków-wieś	0611052	3061211052	9.8536	%	2015
Stary Lubotyń	1416082	1142616082	9.8538	%	2015
Słupia (Konecka)	2605062	3265205062	9.8691	%	2015
Wolanów	1425122	1142725122	9.9088	%	2015
Rawa Mazowiecka-wieś	1013042	1101913042	9.9092	%	2015
Kościan-wieś	3011032	4305911032	9.9326	%	2015
Kocmyrzów-Luborzyca	1206052	2122006052	9.94	%	2015
Boguszów-Gorce	0221011	5020321011	9.9515	%	2015
Juchnowiec Kościelny	2002052	3203702052	9.9712	%	2015
Nowe Miasto	1420082	1142520082	10.0159	%	2015
Czerwonka	1411022	1142611022	10.0373	%	2015
Mełgiew	0617022	3061117022	10.044	%	2015
Sławatycze	0601142	3060901142	10.0456	%	2015
Bobrowice	0802022	4081402022	10.058	%	2015
Perlejewo	2010082	3203810082	10.0642	%	2015
Łomża-wieś	2007022	3203807022	10.1807	%	2015
Gromnik	1216022	2122416022	10.1909	%	2015
Kobiele Wielkie	1012062	1101712062	10.2469	%	2015
Radwanice	0216062	5020216062	10.2659	%	2015
Srokowo	2808062	6285608062	10.2776	%	2015
Kawęczyn	3027042	4305827042	10.2905	%	2015
Olszanica	1821042	3183321042	10.328	%	2015
Czastary	1018022	1101818022	10.3559	%	2015
Wielowieś	2405082	2244705082	10.3578	%	2015
Kuźnia Raciborska	2411053	2244911053	10.3712	%	2015
Lipnica Wielka	1211072	2122211072	10.4242	%	2015
Mirosławiec	3217033	4326317033	10.4452	%	2015
Czemierniki	0615032	3060915032	10.4529	%	2015
Mikołajki Pomorskie	2216022	6224216022	10.4664	%	2015
Kolbudy	2204032	6224004032	10.549	%	2015
Nałęczów	0614083	3061214083	10.5606	%	2015
Żerków	3006043	4305706043	10.5803	%	2015
Miasteczko Śląskie	2413021	2244513021	10.6156	%	2015
Krotoszyce	0209032	5020209032	10.6157	%	2015
Sieroszewice	3017072	4305717072	10.6321	%	2015
Skierbieszów	0620102	3061020102	10.6586	%	2015
Skarszewy	2213093	6224213093	10.7044	%	2015
Szczytno-wieś	2817062	6285617062	10.7113	%	2015
Dobroń	1008042	1101508042	10.7236	%	2015
Tczew-wieś	2214062	6224214062	10.7591	%	2015
Kutno-wieś	1002062	1101902062	10.7685	%	2015
Wąsosz	2004062	3203904062	10.7856	%	2015
Rozdrażew	3012052	4305712052	10.8025	%	2015
Bytom Odrzański	0804023	4081404023	10.8039	%	2015
Chojnów-miasto	0209011	5020209011	10.8208	%	2015
Fałków	2605012	3265205012	10.8469	%	2015
Spiczyn	0610062	3061110062	10.8512	%	2015
Poświętne	1007062	1101707062	10.8533	%	2015
Cyców	0610012	3061110012	10.884	%	2015
Pyzdry	3030043	4305830043	10.9144	%	2015
Lubień Kujawski	0418113	6040818113	10.917	%	2015
Sośno	0413032	6040713032	10.9488	%	2015
Hańsk	0619032	3060919032	10.9533	%	2015
Zakrzewo	3031072	4306031072	10.9533	%	2015
Mędrzechów	1204042	2122404042	10.974	%	2015
Kornowac	2411022	2244911022	10.9764	%	2015
Września	3030053	4305830053	10.9821	%	2015
Sokółka	2011083	3203711083	10.9837	%	2015
Herby	2407042	2244507042	10.9919	%	2015
Lidzbark	2803043	6285403043	11.0165	%	2015
Maków Podhalański	1215063	2122315063	11.0364	%	2015
Pabianice-miasto	1008021	1101508021	11.1092	%	2015
Gać	1814032	3183414032	11.1206	%	2015
Chrzypsko Wielkie	3014012	4305914012	11.131	%	2015
Sabnie	1429072	1142629072	11.1436	%	2015
Stoczek Łukowski-wieś	0611082	3061211082	11.1636	%	2015
Dziemiany	2206022	6224206022	11.176	%	2015
Pawłosiów	1804062	3183404062	11.1937	%	2015
Łańcut-wieś	1810042	3183510042	11.2465	%	2015
Trzemeszno	3003093	4305803093	11.2636	%	2015
Bierawa	1603022	5163203022	11.3377	%	2015
Ochotnica Dolna	1211102	2122211102	11.3474	%	2015
Wierzbica	1425112	1142725112	11.3637	%	2015
Tyrawa Wołoska	1817062	3183317062	11.402	%	2015
Radymno-miasto	1804021	3183404021	11.4183	%	2015
Osina	3204052	4326604052	11.4297	%	2015
Rybno	2803062	6285403062	11.4345	%	2015
Baranów	3008012	4305708012	11.4353	%	2015
Górowo Iławeckie-wieś	2801052	6285601052	11.4516	%	2015
Koszarawa	2417052	2244417052	11.4715	%	2015
Sierpc-miasto	1427011	1142527011	11.5031	%	2015
Krynki	2011042	3203711042	11.525	%	2015
Sędziejowice	1003032	1101803032	11.5413	%	2015
Sienno	1409052	1142709052	11.5654	%	2015
Dębica-wieś	1803042	3183603042	11.6627	%	2015
Piątnica	2007052	3203807052	11.6689	%	2015
Piastów	1421011	1143021011	11.6969	%	2015
Kamieniec Ząbkowicki	0224032	5020324032	11.7429	%	2015
Janowiec Wielkopolski	0419033	6040819033	11.7807	%	2015
Topólka	0411072	6040811072	11.9089	%	2015
Łabowa	1210082	2122210082	11.9145	%	2015
Walce	1605042	5163205042	11.9251	%	2015
Tworóg	2413082	2244513082	11.95	%	2015
Goszczanów	1014062	1101814062	11.9645	%	2015
Łopiennik Górny	0606072	3061006072	11.9889	%	2015
Tarczyn	1406102	1143006102	12.0025	%	2015
Żywiec	2417011	2244417011	12.0147	%	2015
Nowa Sucha	1428052	1143028052	12.0291	%	2015
Sobolew	1403112	1142903112	12.0879	%	2015
Kiwity	2809022	6285609022	12.1593	%	2015
Dynów-wieś	1816052	3183516052	12.1604	%	2015
Blizanów	3007012	4305707012	12.1834	%	2015
Baćkowice	2606012	3265306012	12.2186	%	2015
Piotrków Kujawski	0411053	6040811053	12.2379	%	2015
Sobótka	0223073	5020423073	12.2641	%	2015
Stara Biała	1419132	1142519132	12.2719	%	2015
Kwidzyn-miasto	2207011	6224207011	12.2902	%	2015
Borki	0615022	3060915022	12.3263	%	2015
Jarczów	0618032	3061018032	12.3568	%	2015
Dobra	3027033	4305827033	12.4029	%	2015
Kamiennik	1607022	5163107022	12.4432	%	2015
Puńsk	2009042	3203909042	12.4492	%	2015
Przewóz	0811072	4081411072	12.4919	%	2015
Działdowo-wieś	2803022	6285403022	12.509	%	2015
Gostynin-wieś	1404022	1142504022	12.527	%	2015
Budzyń	3001022	4306001022	12.5347	%	2015
Szczucin	1204072	2122404072	12.601	%	2015
Gaszowice	2412022	2244912022	12.6265	%	2015
Skąpe	0808032	4081408032	12.6584	%	2015
Ciepielów	1409022	1142709022	12.7415	%	2015
Braniewo-wieś	2802022	6285402022	12.8252	%	2015
Orzesze	2408031	2245108031	12.8382	%	2015
Złotniki Kujawskie	0407092	6040807092	12.8389	%	2015
Krempna	1805062	3183305062	12.8586	%	2015
Gilowice	2417032	2244417032	12.8639	%	2015
Tuplice	0811092	4081411092	12.8914	%	2015
Lubichowo	2213062	6224213062	12.9451	%	2015
Jabłonna Lacka	1429042	1142629042	12.971	%	2015
Stary Dzików	1809072	3183409072	12.9912	%	2015
Belsk Duży	1406012	1143006012	12.9931	%	2015
Zawonia	0220052	5020420052	12.9963	%	2015
Lubrza	1610032	5163110032	13.0142	%	2015
Zebrzydowice	2403122	2244403122	13.024	%	2015
Krasnystaw-miasto	0606011	3061006011	13.0551	%	2015
Zabór	0809092	4081409092	13.0585	%	2015
Buk	3021033	4306121033	13.0729	%	2015
Lubin-wieś	0211022	5020211022	13.0834	%	2015
Grodzisko Dolne	1808022	3183608022	13.0929	%	2015
Jelcz-Laskowice	0215033	5020415033	13.0937	%	2015
Iłża	1425033	1142725033	13.1102	%	2015
Końskowola	0614052	3061214052	13.1306	%	2015
Skórcz-miasto	2213021	6224213021	13.1461	%	2015
Besko	1817022	3183317022	13.1959	%	2015
Wielgie	0408092	6040808092	13.2353	%	2015
Szczebrzeszyn	0620133	3061020133	13.2409	%	2015
Parchowo	2201072	6224101072	13.2605	%	2015
Leżajsk-miasto	1808011	3183608011	13.2622	%	2015
