planet height weight number_of_eyes is_humanoid has_physical_body aggression_level speaks_english species
E 144.123242937525 111.346133566637 2 TRUE TRUE 3 TRUE e1
E 198.269677849241 72.8521350103705 2 TRUE TRUE 3 TRUE e1
E 155.586881600094 107.543565216491 2 TRUE TRUE 1 TRUE e1
E 179.144535402754 108.455213188721 2 TRUE TRUE 2 TRUE e1
E 146.468402636644 113.172705003672 2 TRUE TRUE 3 TRUE e1
E 166.379374530935 56.7743010318786 2 TRUE TRUE 1 TRUE e1
F 138.01888923078 65.9866274660249 2 TRUE TRUE 10 TRUE f1
F 159.13881662755 81.9436967190313 2 TRUE TRUE 7 TRUE f1
F 145.088715382504 66.0207260009664 2 TRUE TRUE 11 TRUE f1
F 171.723955043646 52.0221640139966 2 TRUE TRUE 11 TRUE f1
F 152.700512608777 83.018080707825 2 TRUE TRUE 11 TRUE f1
F 140.002373935799 66.6373786351512 2 TRUE TRUE 7 TRUE f1
F 131.754131434078 104.608869861678 2 TRUE TRUE 8 TRUE f1
F 111.2282461583 113.49241443272 2 TRUE TRUE 8 TRUE f1
F 149.139296059355 53.8766504939523 2 TRUE TRUE 9 TRUE f1
F 165.551491445643 43.2625109390186 2 TRUE TRUE 7 TRUE f1
F 129.662498073412 87.5806873076372 2 TRUE TRUE 12 TRUE f1
F 196.857459605135 67.2256173360919 2 TRUE TRUE 10 TRUE f1
F 202.095964076433 99.0260871596815 2 TRUE TRUE 9 TRUE f1
F 160.834134470138 94.6076788547434 2 TRUE TRUE 11 TRUE f1
F 159.822964399445 71.3089147426807 2 TRUE TRUE 12 TRUE f1
F 190.445354241017 92.7186652137373 2 TRUE TRUE 10 TRUE f1
F 173.154772793259 53.3507287906083 2 TRUE TRUE 10 TRUE f1
F 168.39549138946 79.0944428689495 2 TRUE TRUE 7 TRUE f1
F 172.892223916398 35.6346848545559 2 TRUE TRUE 7 TRUE f1
F 140.129562189946 94.3427729699092 2 TRUE TRUE 10 TRUE f1
F 183.642965158263 65.6126805981762 2 TRUE TRUE 9 TRUE f1
